"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"288","Aalborg",1.59019644662773,"3",49,1,"3034"
"289","Aalborg",1.61762743599038,"3",49,2,"3034"
"290","Aalborg",1.61762743599038,"3",49,2,"4044"
"291","Aalborg",1.73988908524375,"3",49,2,"2529"
"292","Aalborg",1.73988908524375,"3",49,2,"3539"
"293","Aalborg",1.55564848908201,"3",49,1,"3034"
"294","Aalborg",1.52913484294349,"3",49,2,"2529"
"295","Aalborg",1.52913484294349,"3",49,2,"3034"
"296","Aalborg",1.26196133179448,"3",49,4,"2529"
"297","Aalborg",1.26196133179448,"3",49,4,"2529"
"298","Aalborg",1.26196133179448,"3",49,4,"2529"
"299","Aalborg",1.26196133179448,"3",49,4,"3034"
"300","Aalborg",1.553989173321,"3",49,7,"2024"
"301","Aalborg",1.553989173321,"3",49,7,"2529"
"302","Aalborg",1.553989173321,"3",49,7,"2529"
"303","Aalborg",1.553989173321,"3",49,7,"3034"
"304","Aalborg",1.553989173321,"3",49,7,"3034"
"305","Aalborg",1.553989173321,"3",49,7,"3034"
"306","Aalborg",1.553989173321,"3",49,7,"4549"
"307","Aalborg",1.66673993715087,"1",49,1,"2529"
"308","Aalborg",1.56457181026435,"1",49,1,"2529"
"309","Aalborg",1.55271857378768,"2",49,1,"2529"
"310","Aalborg",1.37683708472013,"3",49,1,"4044"
"311","Aalborg",1.60007355056756,"3",49,3,"2024"
"312","Aalborg",1.60007355056756,"3",49,3,"2529"
"313","Aalborg",1.60007355056756,"3",49,3,"3034"
"314","Aalborg",1.66223084510151,"3",49,1,"3034"
"315","Aalborg",1.77456635434477,"3",49,4,"2529"
"316","Aalborg",1.77456635434477,"3",49,4,"3034"
"317","Aalborg",1.77456635434477,"3",49,4,"3034"
"318","Aalborg",1.77456635434477,"3",49,4,"3539"
"319","Aalborg",1.8216219661618,"2",49,3,"2024"
"320","Aalborg",1.8216219661618,"2",49,3,"2529"
"321","Aalborg",1.8216219661618,"2",49,3,"2529"
"322","Aalborg",1.49368958008818,"3",49,3,"3034"
"323","Aalborg",1.49368958008818,"3",49,3,"3539"
"324","Aalborg",1.49368958008818,"3",49,3,"4549"
"325","Aalborg",1.76220509047596,"3",49,3,"2529"
"326","Aalborg",1.76220509047596,"3",49,3,"3034"
"327","Aalborg",1.76220509047596,"3",49,3,"3034"
"328","Aalborg",1.7647881432901,"2",49,2,"3034"
"329","Aalborg",1.7647881432901,"2",49,2,"3539"
"330","Aalborg",1.58330826055779,"3",49,2,"2024"
"331","Aalborg",1.58330826055779,"3",49,2,"2529"
"332","Aalborg",1.32892180458691,"3",49,3,"3034"
"333","Aalborg",1.32892180458691,"3",49,3,"3539"
"334","Aalborg",1.32892180458691,"3",49,3,"4044"
"335","Aalborg",1.60892300589962,"3",49,3,"3034"
"336","Aalborg",1.60892300589962,"3",49,3,"3539"
"337","Aalborg",1.60892300589962,"3",49,3,"3539"
"338","Aalborg",1.72007118296433,"1",49,2,"2529"
"339","Aalborg",1.72007118296433,"1",49,2,"2529"
"340","Aalborg",1.64519762285822,"3",49,5,"2529"
"341","Aalborg",1.64519762285822,"3",49,5,"2529"
"342","Aalborg",1.64519762285822,"3",49,5,"3034"
"343","Aalborg",1.64519762285822,"3",49,5,"3034"
"344","Aalborg",1.64519762285822,"3",49,5,"3539"
"345","Aalborg",1.46602191323877,"1",49,2,"2529"
"346","Aalborg",1.46602191323877,"1",49,2,"3539"
"347","Aalborg",1.54768652873642,"3",49,2,"2529"
"348","Aalborg",1.54768652873642,"3",49,2,"3034"
"349","Aalborg",1.62235876291886,"3",49,2,"2529"
"350","Aalborg",1.62235876291886,"3",49,2,"3034"
"351","Aalborg",1.46514797583467,"2",49,1,"2024"
"352","Aalborg",1.60121038631,"3",49,3,"2529"
"353","Aalborg",1.60121038631,"3",49,3,"2529"
"354","Aalborg",1.60121038631,"3",49,3,"3539"
"355","Aalborg",1.55967444464066,"1",49,1,"3034"
"356","Aalborg",1.71840672885321,"3",49,3,"2529"
"357","Aalborg",1.71840672885321,"3",49,3,"3034"
"358","Aalborg",1.71840672885321,"3",49,3,"3539"
"359","Aalborg",1.35378317233125,"3",49,3,"3034"
"360","Aalborg",1.35378317233125,"3",49,3,"3034"
"361","Aalborg",1.35378317233125,"3",49,3,"3539"
"362","Aalborg",1.40287399519916,"3",49,1,"3034"
"363","Aalborg",1.74293250457418,"3",49,2,"2024"
"364","Aalborg",1.74293250457418,"3",49,2,"2529"
"365","Aalborg",1.6009578350459,"3",49,2,"2529"
"366","Aalborg",1.6009578350459,"3",49,2,"3539"
"367","Aalborg",1.52272207212394,"2",49,2,"2529"
"368","Aalborg",1.52272207212394,"2",49,2,"3034"
"369","Aalborg",1.89694578019042,"1",49,4,"2529"
"370","Aalborg",1.89694578019042,"1",49,4,"3034"
"371","Aalborg",1.89694578019042,"1",49,4,"3034"
"372","Aalborg",1.89694578019042,"1",49,4,"4044"
"373","Aalborg",1.78501928705191,"3",49,2,"2529"
"374","Aalborg",1.78501928705191,"3",49,2,"3034"
"375","Aalborg",1.52293320507282,"1",49,3,"2024"
"376","Aalborg",1.52293320507282,"1",49,3,"2529"
"377","Aalborg",1.52293320507282,"1",49,3,"3034"
"378","Aalborg",1.663982058285,"3",49,3,"3034"
"379","Aalborg",1.663982058285,"3",49,3,"3539"
"380","Aalborg",1.663982058285,"3",49,3,"3539"
"381","Aalborg",1.65799083312359,"3",49,3,"2024"
"382","Aalborg",1.65799083312359,"3",49,3,"2529"
"383","Aalborg",1.65799083312359,"3",49,3,"3539"
"384","Aalborg",1.49877835509609,"1",49,1,"3034"
"385","Aalborg",1.64036743280701,"2",49,1,"2529"
"386","Aalborg",1.59270671186948,"1",49,4,"2529"
"387","Aalborg",1.59270671186948,"1",49,4,"2529"
"388","Aalborg",1.59270671186948,"1",49,4,"3539"
"389","Aalborg",1.59270671186948,"1",49,4,"4044"
"390","Aalborg",1.72933598000212,"3",49,1,"3034"
"391","Aalborg",1.59712422535855,"3",49,4,"2529"
"392","Aalborg",1.59712422535855,"3",49,4,"2529"
"393","Aalborg",1.59712422535855,"3",49,4,"3539"
"394","Aalborg",1.59712422535855,"3",49,4,"3539"
"395","Aalborg",1.42564689071026,"3",49,1,"3034"
"396","Aalborg",1.60614052441403,"3",49,1,"3034"
"397","Aalborg",1.37801214994046,"1",49,1,"3539"
"398","Aalborg",1.47940402537247,"3",49,1,"3034"
"399","Aalborg",1.37941885875196,"2",49,3,"1519"
"400","Aalborg",1.37941885875196,"2",49,3,"2529"
"401","Aalborg",1.37941885875196,"2",49,3,"3539"
"402","Aalborg",1.57368883920528,"1",49,3,"1519"
"403","Aalborg",1.57368883920528,"1",49,3,"2024"
"404","Aalborg",1.57368883920528,"1",49,3,"3034"
"405","Aalborg",1.2987777724583,"2",49,3,"1519"
"406","Aalborg",1.2987777724583,"2",49,3,"2529"
"407","Aalborg",1.2987777724583,"2",49,3,"2529"
"408","Aalborg",1.51971016442428,"3",49,1,"3034"
"409","Aalborg",1.53032974177054,"3",49,2,"2529"
"410","Aalborg",1.53032974177054,"3",49,2,"3034"
"411","Aalborg",1.6201420840855,"2",49,2,"2024"
"412","Aalborg",1.6201420840855,"2",49,2,"3034"
"413","Aalborg",1.60630109613992,"3",49,2,"2529"
"414","Aalborg",1.60630109613992,"3",49,2,"3034"
"415","Aalborg",1.3616941782121,"3",49,2,"2024"
"416","Aalborg",1.3616941782121,"3",49,2,"3034"
"417","Aalborg",1.79391099632755,"3",49,3,"3034"
"418","Aalborg",1.79391099632755,"3",49,3,"3034"
"419","Aalborg",1.79391099632755,"3",49,3,"3539"
"420","Aalborg",1.48553773778354,"3",49,1,"3034"
"421","Aalborg",1.70500730376179,"3",49,2,"1519"
"422","Aalborg",1.70500730376179,"3",49,2,"2529"
"423","Aalborg",1.84662623293947,"3",49,2,"2529"
"424","Aalborg",1.84662623293947,"3",49,2,"2529"
"425","Aalborg",1.56771675983947,"3",49,1,"2529"
"426","Aalborg",1.62079833768626,"3",49,1,"2024"
"427","Aalborg",1.89921715765999,"3",49,2,"2024"
"428","Aalborg",1.89921715765999,"3",49,2,"3539"
"429","Aalborg",1.56849598430798,"2",49,5,"2024"
"430","Aalborg",1.56849598430798,"2",49,5,"2529"
"431","Aalborg",1.56849598430798,"2",49,5,"3034"
"432","Aalborg",1.56849598430798,"2",49,5,"3539"
"433","Aalborg",1.56849598430798,"2",49,5,"3539"
