Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aalborg,1.7520638851346668,3,49,2,0,1,0,1,0,0,0
Aalborg,1.5360440878745412,1,49,3,0,1,0,1,0,1,0
Aalborg,1.6928622882453888,2,49,2,0,0,0,2,0,0,0
Aalborg,1.5380369328762296,2,49,3,0,0,2,1,0,0,0
Aalborg,1.5866388634090856,3,49,2,0,0,2,0,0,0,0
Aalborg,1.7011942899184331,1,49,3,0,0,1,1,1,0,0
Aalborg,1.503542787630002,2,49,3,0,0,2,1,0,0,0
Aalborg,1.4919252567199854,3,49,3,0,0,1,1,1,0,0
Aalborg,1.4266454724024282,1,49,1,0,0,0,1,0,0,0
Aalborg,1.6044313357618483,1,49,1,0,0,0,1,0,0,0
Aalborg,1.5630571077112698,3,49,1,0,0,0,1,0,0,0
Aalborg,1.8129375315879768,1,49,2,0,0,1,1,0,0,0
Aalborg,1.541570882583853,1,49,5,0,1,2,1,0,1,0
Aalborg,1.5889822415020562,2,49,3,0,0,1,1,1,0,0
Aalborg,1.68515749346622,3,49,2,0,0,2,0,0,0,0
Aalborg,1.355038024485864,1,49,1,0,0,1,0,0,0,0
Aalborg,1.7875039040846024,2,49,3,0,1,1,0,1,0,0
Aalborg,1.376276093218295,1,49,2,0,0,1,1,0,0,0
Aalborg,1.6726756099348083,3,49,1,0,0,0,1,0,0,0
Aalborg,1.898187257142569,2,49,3,0,0,1,1,1,0,0
Aalborg,1.9244158533946374,1,49,1,0,0,1,0,0,0,0
Aalborg,1.7776840362692523,3,49,1,0,0,0,0,1,0,0
Aalborg,1.7515600642682365,3,49,2,0,0,2,0,0,0,0
Aalborg,1.7746339314699562,3,49,1,0,0,1,0,0,0,0
Aalborg,1.6076210120877164,2,49,2,0,1,0,1,0,0,0
Aalborg,1.6513580390553135,1,49,0,0,0,0,0,0,0,0
Aalborg,1.7095890527138038,3,49,3,0,2,1,0,0,0,0
Aalborg,1.6076803310545058,2,49,2,0,1,0,1,0,0,0
Aalborg,1.6501771618282564,1,49,2,0,1,1,0,0,0,0
Aalborg,1.3145942307449343,2,49,3,0,1,0,2,0,0,0
Aalborg,1.425319138308375,2,49,0,0,0,0,0,0,0,0
Aalborg,1.4468559011423134,1,49,5,0,0,3,2,0,0,0
Aalborg,1.5812424561479346,1,49,2,0,1,1,0,0,0,0
Aalborg,1.6786660270381983,3,49,2,0,0,1,0,1,0,0
Aalborg,1.5913232432707092,3,49,3,0,0,2,1,0,0,0
Aalborg,1.3949662399906413,1,49,3,0,0,1,1,1,0,0
Aalborg,1.546464106459249,3,49,1,0,0,0,0,1,0,0
Aalborg,1.983254774814853,2,49,3,0,0,0,2,1,0,0
Aalborg,1.7643525486073464,3,49,2,0,0,0,2,0,0,0
Aalborg,1.6521530051538618,2,49,5,0,0,1,4,0,0,0
Aalborg,1.7629420749788627,1,49,0,0,0,0,0,0,0,0
Aalborg,1.6148646861047824,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6395254817533675,1,49,2,0,1,1,0,0,0,0
Aalborg,1.7253136535398297,2,49,5,0,0,2,3,0,0,0
Aalborg,1.5062544348316063,3,49,1,0,0,0,1,0,0,0
Aalborg,1.7745284123386844,3,49,1,0,0,1,0,0,0,0
Aalborg,1.3252915312499547,3,49,1,0,0,0,1,0,0,0
Aalborg,1.7951697968607119,3,49,3,0,2,1,0,0,0,0
Aalborg,1.2900540557777462,3,49,1,0,0,1,0,0,0,0
Aalborg,1.4307751139997218,3,49,2,0,0,1,0,0,1,0
Aalborg,1.665663526802656,1,49,2,0,0,2,0,0,0,0
Aalborg,1.5723008299635826,1,49,1,0,1,0,0,0,0,0
Aalborg,1.8795704824311168,2,49,3,0,1,2,0,0,0,0
Aalborg,1.5420579224336028,3,49,2,0,0,1,1,0,0,0
Aalborg,1.616839707371993,1,49,1,0,0,0,1,0,0,0
Aalborg,1.6472492345385263,1,49,3,0,1,1,1,0,0,0
Aalborg,1.5784101604906124,3,49,0,0,0,0,0,0,0,0
Aalborg,1.384221174902907,3,49,2,0,0,1,1,0,0,0
Aalborg,1.9252074803501882,2,49,0,0,0,0,0,0,0,0
Aalborg,1.6123747506840944,3,49,4,0,0,2,0,2,0,0
Aalborg,1.302274277571054,3,49,4,0,1,1,1,1,0,0
Aalborg,1.6762780117947702,3,49,1,0,0,0,0,1,0,0
Aalborg,1.313063643063768,1,49,1,0,0,1,0,0,0,0
Aalborg,1.674842426942628,3,49,5,0,1,2,2,0,0,0
Aalborg,1.776262116263792,1,49,2,0,1,1,0,0,0,0
Aalborg,1.7865587796821063,2,49,2,0,0,1,1,0,0,0
Aalborg,1.518357942260733,3,49,2,0,0,1,1,0,0,0
Aalborg,1.4681129347217603,3,49,1,0,0,0,1,0,0,0
Aalborg,1.4213714656102676,1,49,2,0,0,1,1,0,0,0
Aalborg,1.5318658297599397,3,49,0,0,0,0,0,0,0,0
Aalborg,1.3771456294657443,2,49,1,0,0,1,0,0,0,0
Aalborg,1.686779095238575,3,49,3,0,0,1,1,1,0,0
Aalborg,1.8010086570433972,3,49,1,0,0,0,1,0,0,0
