Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aalborg,1.5372035728380602,1,49,18,3,4,5,5,1,0,0
Aalborg,1.6167341622697176,1,49,18,4,2,5,5,2,0,0
Aalborg,1.7506000245071969,2,49,24,5,4,5,5,5,0,0
Aalborg,1.835213278347207,3,49,20,5,2,5,5,3,0,0
Aalborg,1.5435110180929315,2,49,20,4,4,5,5,2,0,0
Aalborg,1.5075026330060555,1,49,21,4,3,5,5,4,0,0
Aalborg,1.7885968637692073,1,49,21,4,4,5,5,2,1,0
Aalborg,1.6404863822626083,3,49,19,3,3,5,5,3,0,0
Aalborg,1.631169827062361,1,49,22,4,5,5,5,3,0,0
Aalborg,1.71727534942158,3,49,20,5,2,5,5,3,0,0
Aalborg,1.537029467207948,3,49,19,2,3,5,5,4,0,0
Aalborg,1.8290599301499009,1,49,20,5,3,5,5,2,0,0
Aalborg,1.60973175009854,2,49,19,3,3,5,5,3,0,0
Aalborg,1.625612785827476,3,49,20,4,2,5,5,4,0,0
Aalborg,1.5155188137579416,3,49,21,4,3,5,5,4,0,0
Aalborg,1.418635248170182,3,49,19,4,2,5,5,3,0,0
Aalborg,1.4547285112658286,3,49,21,4,3,5,5,4,0,0
Aalborg,1.7456485029362572,2,49,21,3,4,5,5,4,0,0
Aalborg,1.5684162298414535,3,49,21,3,4,5,5,4,0,0
Aalborg,1.8141565951840304,1,49,22,4,4,5,5,4,0,0
Aalborg,2.0415107948975417,3,49,19,4,1,5,5,4,0,0
Aalborg,1.6314776171820262,2,49,21,4,4,5,5,3,0,0
Aalborg,1.4151988112530955,3,49,24,4,5,5,5,5,0,0
Aalborg,1.2708804633170743,3,49,24,5,4,5,5,5,0,0
Aalborg,1.6318205820137275,3,49,21,3,3,5,5,5,0,0
Aalborg,1.4770839136721083,1,49,20,3,4,5,5,3,0,0
Aalborg,1.8190104813985408,3,49,21,4,2,5,5,5,0,0
Aalborg,1.4707171350673778,3,49,21,4,3,5,5,4,0,0
Aalborg,1.678516366799127,1,49,23,4,5,5,5,4,0,0
Aalborg,1.5642369167249257,3,49,19,4,2,5,5,3,0,0
Aalborg,1.63620297395145,3,49,23,5,3,5,5,5,0,0
Aalborg,1.7648108135545113,3,49,22,4,5,5,5,3,0,0
Aalborg,1.8777218641815334,3,49,20,4,3,5,5,2,1,0
Aalborg,1.4609690851837838,2,49,21,5,4,5,5,2,0,0
Aalborg,1.8406467035275487,3,49,21,4,3,5,5,4,0,0
Aalborg,1.3951195064123045,3,49,23,4,4,5,5,5,0,0
Aalborg,1.5057450041291964,1,49,19,3,4,5,5,2,0,0
Aalborg,1.4670885610436883,3,49,23,4,4,5,5,5,0,0
Aalborg,1.6499943029743198,1,49,23,4,4,5,5,5,0,0
Aalborg,1.7537811847743425,1,49,19,3,4,5,5,2,0,0
Aalborg,1.5304820048144518,3,49,23,4,4,5,5,5,0,0
Aalborg,1.5631415566326157,3,49,22,5,3,5,5,4,0,0
Aalborg,1.7687953353724075,3,49,23,4,4,5,5,5,0,0
Aalborg,1.7521604466046616,3,49,22,4,5,5,5,3,0,0
Aalborg,1.6588989165923282,3,49,24,5,4,5,5,5,0,0
Aalborg,1.522234006024694,3,49,20,3,2,5,5,5,0,0
Aalborg,1.5483062847819815,1,49,23,5,3,5,5,5,0,0
Aalborg,1.6087808518923932,1,49,21,4,3,5,5,4,0,0
Aalborg,1.7121584012269269,2,49,20,4,4,5,5,2,0,0
Aalborg,1.6047924137498815,3,49,22,4,4,5,5,4,0,0
Aalborg,1.8521073314605425,2,49,21,5,3,5,5,3,0,0
Aalborg,1.6578685990262174,1,49,20,5,1,5,5,4,0,0
Aalborg,1.4402539434311143,3,49,21,3,4,5,5,4,0,0
Aalborg,1.7098157415903947,2,49,22,4,4,5,5,4,0,0
Aalborg,1.567038918457558,1,49,22,4,3,5,5,5,0,0
Aalborg,1.5878747849396835,2,49,23,4,4,5,5,5,0,0
Aalborg,1.3592890276336005,3,49,21,4,4,5,5,3,0,0
Aalborg,1.4850831610311614,1,49,21,5,2,5,5,4,0,0
Aalborg,1.7307746760289373,2,49,20,4,4,5,5,2,0,0
Aalborg,1.4482832582818477,1,49,24,5,4,5,5,5,0,0
Aalborg,1.4412699199073447,2,49,22,5,3,5,5,3,1,0
Aalborg,1.7545249558478164,3,49,21,4,3,5,5,4,0,0
Aalborg,1.61073534579578,3,49,22,4,4,5,5,4,0,0
Aalborg,1.3279994929949919,2,49,22,5,3,5,5,4,0,0
Aalborg,1.6839224418059355,3,49,23,5,3,5,5,5,0,0
Aalborg,1.724681581518186,2,49,22,4,3,5,5,5,0,0
Aalborg,1.465148972860896,3,49,23,5,4,5,5,4,0,0
Aalborg,1.4074437666441217,1,49,23,5,3,5,5,5,0,0
Aalborg,1.5492933431375493,3,49,22,4,4,5,5,4,0,0
Aalborg,1.7179911030407196,2,49,24,5,5,5,5,4,0,0
Aalborg,1.357076912896876,3,49,19,3,2,5,5,4,0,0
Aalborg,1.6459651963415967,3,49,25,5,4,5,5,5,1,0
Aalborg,1.6459052782365147,3,49,23,4,4,5,5,5,0,0
Aalborg,1.8118741457529581,3,49,22,5,3,5,5,4,0,0
Aalborg,1.7837154358125324,3,49,23,4,4,5,5,5,0,0
Aalborg,1.807751668083203,3,49,22,4,3,5,5,5,0,0
Aalborg,1.6752907894370215,2,49,24,4,5,5,5,5,0,0
Aalborg,1.5652960280510668,3,49,22,4,3,5,5,5,0,0
Aalborg,1.495718766821562,3,49,23,4,4,5,5,5,0,0
Aalborg,1.6947171071707832,3,49,22,4,4,5,5,4,0,0
Aalborg,1.732235769029692,1,49,24,5,4,5,5,5,0,0
Aalborg,1.8432888890898078,3,49,21,4,2,5,5,5,0,0
Aalborg,1.6191391294116548,3,49,24,5,4,5,5,5,0,0
Aalborg,1.4768417939186493,2,49,22,4,4,5,5,4,0,0
Aalborg,1.6164851800365339,1,49,22,5,2,5,5,5,0,0
Aalborg,1.604181516299976,3,49,22,4,3,5,5,5,0,0
Aalborg,1.5042075289958947,1,49,23,4,4,5,5,5,0,0
Aalborg,1.6285165409721767,2,49,22,3,4,5,5,5,0,0
Aalborg,1.56665549820285,3,49,23,4,4,5,5,5,0,0
Aalborg,1.5231230152076651,2,49,23,4,4,5,5,5,0,0
Aalborg,1.6826993412187843,3,49,22,4,3,5,5,5,0,0
Aalborg,1.6530554693052784,1,49,23,4,4,5,5,5,0,0
Aalborg,1.3858421438326411,3,49,21,4,2,5,5,5,0,0
Aalborg,1.5833043509167601,3,49,24,5,4,5,5,5,0,0
Aalborg,1.4658546241378545,3,49,23,5,3,5,5,5,0,0
Aalborg,1.6175840934320407,3,49,22,4,3,5,5,5,0,0
Aalborg,1.5114377402280297,1,49,21,4,2,5,5,5,0,0
Aalborg,1.5449108764543897,1,49,23,4,4,5,5,5,0,0
Aalborg,1.5164240068212351,3,49,23,5,3,5,5,5,0,0
Aalborg,1.5295751815740608,3,49,20,4,1,5,5,5,0,0
Aalborg,1.42560113655553,3,49,25,5,4,5,5,5,1,0
Aalborg,1.7558998454946952,3,49,24,5,4,5,5,5,0,0
Aalborg,1.3536742711599983,1,49,22,5,2,5,5,5,0,0
Aalborg,1.501138050973656,3,49,23,4,4,5,5,5,0,0
Aalborg,2.1931268777959554,3,49,24,5,4,5,5,5,0,0
Aalborg,1.5387201015708927,1,49,23,5,3,5,5,5,0,0
Aalborg,1.736816685106562,2,49,22,4,3,5,5,5,0,0
Aalborg,1.5771330685480276,3,49,23,4,4,5,5,5,0,0
