Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aalborg,1.557563245981159,3,49,7,0,0,4,2,1,0,0
Aalborg,1.4888053585938374,3,49,2,0,0,0,1,1,0,0
Aalborg,1.6625921539817377,3,49,2,1,0,1,0,0,0,0
Aalborg,1.4607560305376037,2,49,1,0,0,0,1,0,0,0
Aalborg,1.5845712810093742,1,49,3,0,1,1,1,0,0,0
Aalborg,1.709628360665613,3,49,2,0,1,1,0,0,0,0
Aalborg,1.7093070798925734,3,49,1,0,0,0,0,0,1,0
Aalborg,1.8088052682281852,3,49,3,0,0,0,1,1,0,1
Aalborg,1.8907328389791802,3,49,2,0,0,1,1,0,0,0
Aalborg,1.7017401962552134,2,49,1,0,0,0,1,0,0,0
Aalborg,1.7311142009791836,3,49,3,0,1,1,1,0,0,0
Aalborg,1.513109079158062,3,49,3,0,0,1,2,0,0,0
Aalborg,1.4861052164580812,2,49,2,0,1,0,0,0,1,0
Aalborg,1.4005636229627167,3,49,1,0,0,1,0,0,0,0
Aalborg,1.6477612488934998,3,49,2,0,0,2,0,0,0,0
Aalborg,1.5492647043660246,3,49,2,0,0,1,1,0,0,0
Aalborg,1.5174347658057998,1,49,2,0,1,1,0,0,0,0
Aalborg,1.447363044116386,3,49,1,0,0,0,0,1,0,0
Aalborg,1.7826537048435893,2,49,1,0,0,0,0,1,0,0
Aalborg,1.5933145970873568,3,49,3,0,0,0,3,0,0,0
Aalborg,1.6040036758038412,3,49,3,0,0,1,1,1,0,0
Aalborg,1.3512418042976142,3,49,3,0,0,0,2,1,0,0
Aalborg,1.8095687994144147,1,49,1,0,1,0,0,0,0,0
Aalborg,1.5815966627444091,3,49,3,0,0,0,1,1,0,1
Aalborg,1.7333462763567353,2,49,3,0,0,1,1,1,0,0
Aalborg,1.4143407777281474,3,49,3,0,0,0,1,2,0,0
Aalborg,1.8635483142852118,2,49,1,0,0,1,0,0,0,0
Aalborg,1.6209192111938353,2,49,2,0,0,0,0,1,1,0
Aalborg,1.728688203216076,3,49,6,0,1,2,2,1,0,0
Aalborg,1.6426378007023024,1,49,3,0,0,0,3,0,0,0
Aalborg,1.6990866380077099,3,49,1,0,0,0,0,0,1,0
Aalborg,1.4749863635589402,3,49,0,0,0,0,0,0,0,0
Aalborg,1.5875383426849268,3,49,3,0,0,0,3,0,0,0
Aalborg,1.6540201089135185,3,49,0,0,0,0,0,0,0,0
Aalborg,1.734548770758295,3,49,2,0,0,0,2,0,0,0
Aalborg,1.4676792528353115,1,49,0,0,0,0,0,0,0,0
Aalborg,1.5739836482781289,3,49,2,0,0,0,1,1,0,0
Aalborg,1.885335735032488,3,49,2,0,0,1,0,1,0,0
Aalborg,1.636386674956306,3,49,3,0,0,2,1,0,0,0
Aalborg,1.6173458955742683,1,49,0,0,0,0,0,0,0,0
Aalborg,1.5257569352653229,1,49,1,0,0,0,1,0,0,0
Aalborg,1.5173680261700995,1,49,0,0,0,0,0,0,0,0
Aalborg,1.7643630478303203,3,49,1,0,0,0,0,0,1,0
Aalborg,1.6345353600036625,1,49,2,0,1,0,0,1,0,0
Aalborg,1.8061206658888138,3,49,1,0,0,1,0,0,0,0
Aalborg,1.7885428987787644,3,49,3,0,0,2,1,0,0,0
Aalborg,1.575305111809743,2,49,3,0,1,0,2,0,0,0
Aalborg,1.4819415735239612,3,49,6,0,2,4,0,0,0,0
Aalborg,1.3683818044369955,3,49,6,0,1,2,1,1,1,0
Aalborg,1.457982564727143,3,49,1,0,0,0,1,0,0,0
Aalborg,1.8607324415324524,3,49,3,0,1,0,1,0,0,1
Aalborg,1.5969872876571312,2,49,3,0,1,2,0,0,0,0
Aalborg,1.7179975299317016,3,49,2,0,0,2,0,0,0,0
Aalborg,1.5082999374288546,3,49,4,0,0,1,1,1,0,1
Aalborg,1.7994526524561716,3,49,4,0,0,2,2,0,0,0
Aalborg,1.5668568561847163,3,49,3,0,0,1,1,1,0,0
Aalborg,1.6174911804759105,3,49,2,0,0,0,1,1,0,0
Aalborg,1.8878432711042075,3,49,1,0,0,0,1,0,0,0
Aalborg,1.6444605847020575,3,49,3,0,0,1,1,1,0,0
Aalborg,1.705955187858337,3,49,1,0,0,0,1,0,0,0
Aalborg,1.6982363635880315,1,49,1,0,0,0,1,0,0,0
Aalborg,1.7904568002776966,3,49,3,0,1,0,1,0,0,1
Aalborg,1.8000383611526354,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6219392943438702,3,49,1,0,0,0,1,0,0,0
Aalborg,1.7905519740457259,1,49,2,0,0,1,1,0,0,0
Aalborg,1.6849101985287802,1,49,0,0,0,0,0,0,0,0
Aalborg,1.5681759875847077,3,49,0,0,0,0,0,0,0,0
Aalborg,1.3961984319320389,3,49,1,0,1,0,0,0,0,0
Aalborg,1.7661173055429906,2,49,2,0,0,0,1,1,0,0
Aalborg,1.568678491734943,1,49,4,0,0,2,2,0,0,0
Aalborg,1.5038761410375683,3,49,3,0,1,0,1,1,0,0
Aalborg,1.6611486076246846,1,49,0,0,0,0,0,0,0,0
Aalborg,1.9029017338332452,3,49,2,0,0,0,1,1,0,0
Aalborg,1.3615317419934114,1,49,0,0,0,0,0,0,0,0
Aalborg,1.4754840046588882,3,49,1,0,0,1,0,0,0,0
Aalborg,1.8037635176304916,2,49,1,0,0,0,0,1,0,0
Aalborg,1.4076244904111186,1,49,4,0,2,2,0,0,0,0
Aalborg,1.5944812937421233,3,49,4,0,0,3,0,1,0,0
Aalborg,1.6078722677199795,3,49,3,0,0,1,2,0,0,0
Aalborg,1.6049192883860128,2,49,3,0,0,0,1,1,1,0
Aalborg,1.662172976734277,3,49,3,0,1,0,0,2,0,0
Aalborg,1.3959963900493622,3,49,0,0,0,0,0,0,0,0
Aalborg,1.8350050917899818,2,49,6,0,0,3,1,2,0,0
Aalborg,1.2732178426863041,3,49,2,0,0,1,1,0,0,0
Aalborg,1.4828615920707935,2,49,1,0,0,1,0,0,0,0
Aalborg,1.5063236836077263,3,49,2,0,0,0,2,0,0,0
Aalborg,1.5380677689276387,3,49,4,0,0,2,1,1,0,0
Aalborg,1.2969097854536622,3,49,2,0,0,1,1,0,0,0
Aalborg,1.826887532897292,3,49,0,0,0,0,0,0,0,0
Aalborg,1.3201481860249458,3,49,2,0,0,0,1,1,0,0
Aalborg,1.650421987640263,3,49,2,0,0,0,2,0,0,0
Aalborg,1.8147336559023097,1,49,3,0,1,2,0,0,0,0
Aalborg,1.5826816297716721,2,49,1,0,0,1,0,0,0,0
Aalborg,1.706612892411088,3,49,2,1,0,0,1,0,0,0
Aalborg,1.5451766799291646,3,49,2,0,0,0,1,1,0,0
Aalborg,1.8574242712348494,3,49,1,0,0,1,0,0,0,0
Aalborg,1.565429526726206,3,49,3,0,0,1,2,0,0,0
Aalborg,1.3493767703988442,3,49,2,0,0,2,0,0,0,0
Aalborg,1.2403532729880211,3,49,0,0,0,0,0,0,0,0
Aalborg,1.5951716909460614,3,49,1,0,0,0,1,0,0,0
Aalborg,1.5854871285497845,1,49,1,0,0,0,1,0,0,0
Aalborg,1.439918398827972,3,49,0,0,0,0,0,0,0,0
Aalborg,1.4044011764566897,3,49,1,0,0,0,1,0,0,0
Aalborg,1.5729647109012062,3,49,4,0,1,2,1,0,0,0
Aalborg,1.51149902791903,1,49,2,0,0,1,1,0,0,0
Aalborg,1.6424552638700425,3,49,2,0,0,1,1,0,0,0
Aalborg,1.6105406495389107,3,49,1,0,0,0,0,0,1,0
Aalborg,1.7378333623147653,2,49,2,0,0,1,1,0,0,0
Aalborg,1.6850158798675194,1,49,1,0,0,1,0,0,0,0
Aalborg,1.3681254321928964,3,49,4,0,1,2,0,1,0,0
Aalborg,1.736936295424385,3,49,5,0,1,0,3,1,0,0
Aalborg,1.5959988291081557,3,49,3,0,1,0,1,0,0,1
Aalborg,1.3422573778664368,3,49,3,0,1,0,1,0,1,0
Aalborg,1.7621050503129831,3,49,1,0,0,0,0,1,0,0
Aalborg,1.5439857231297296,3,49,2,0,0,1,0,0,0,1
Aalborg,1.409745828328064,1,49,1,0,0,0,1,0,0,0
Aalborg,1.5050470676058914,2,49,4,0,0,1,3,0,0,0
Aalborg,1.6817827486039745,2,49,4,0,0,1,2,0,0,1
Aalborg,1.4872179841314295,2,49,3,0,1,1,0,0,1,0
Aalborg,1.609771763422975,3,49,2,0,0,2,0,0,0,0
Aalborg,1.5482910918131916,3,49,5,0,0,1,2,2,0,0
Aalborg,1.8074075419687616,3,49,4,1,0,1,1,0,1,0
